Object: ring, Seed: 47746, Result: 1, vel: 5.408960986677632, roll:0.285653559981437, pos:[-0.02695012188907664, 1.0832291871767314, 0], ori:[-4.559121268111847, 90, -4.4103537522948795]
Object: ring, Seed: 90305, Result: 0, vel: 5.164979767705433, roll:-0.12434995024576462, pos:[-0.12789224680359074, -0.6768209619046643, 0], ori:[0.862451943396402, 90, -9.358658736667904]
Object: ring, Seed: 71009, Result: 1, vel: 5.372867202255195, roll:0.054070407790781094, pos:[-0.047302440785112754, 0.08810135104480943, 0], ori:[1.4551143350521283, 90, 12.315291278669342]
Object: ring, Seed: 59015, Result: 0, vel: 5.71643922601094, roll:-0.09312998324243241, pos:[-0.21935187791275837, 0.737695600449277, 0], ori:[1.2863836806061748, 90, 4.432997254968527]
Object: ring, Seed: 70340, Result: 0, vel: 5.648365257058733, roll:0.15259626130426313, pos:[-0.19575879016132403, -1.06908951993344, 0], ori:[-4.172898107259201, 90, 4.394879857459777]
Object: ring, Seed: 35834, Result: 1, vel: 5.477766294947811, roll:-0.28703634938105393, pos:[-0.07014283764891244, -0.17210314889936984, 0], ori:[-0.7156088535369705, 90, 0.22918508887035927]
Object: ring, Seed: 17574, Result: 1, vel: 5.741826802358955, roll:0.011238891560918063, pos:[-0.2492094346453613, -0.14981105455791077, 0], ori:[2.899693693862327, 90, 10.053506366804331]
Object: ring, Seed: 76563, Result: 0, vel: 5.874009957730978, roll:-0.02534984554719305, pos:[0.0284306202543666, 0.34452175204516156, 0], ori:[2.027493202985447, 90, 12.659835148263252]
Object: ring, Seed: 56655, Result: 1, vel: 5.695688818776161, roll:0.19855002142442502, pos:[-0.13139613237414288, -0.33811541652577326, 0], ori:[-1.7632830560829085, 90, 12.690364746562004]
Object: ring, Seed: 14171, Result: 0, vel: 5.853833375384503, roll:-0.0019321557736889927, pos:[-0.2948500895269038, -1.0745761684314614, 0], ori:[-3.4428445768700024, 90, -4.3494342785784355]
Object: ring, Seed: 74812, Result: 1, vel: 5.752406848505305, roll:-0.21380068923051904, pos:[0.0026097544443035026, 0.552994425097866, 0], ori:[0.6961146651222041, 90, -3.965964522235616]
Object: ring, Seed: 265, Result: 0, vel: 5.521922834723535, roll:0.11611716385248572, pos:[-0.2514158079474408, -1.1519840199514009, 0], ori:[2.833019581268114, 90, 1.7457440656865018]
Object: ring, Seed: 65558, Result: 1, vel: 5.864628084625515, roll:0.25631417759765046, pos:[-0.24299604638481037, -0.6092285726069959, 0], ori:[-1.4483434292639732, 90, 11.673501258895271]
Object: ring, Seed: 22325, Result: 1, vel: 5.54831258122997, roll:-0.07959241547543316, pos:[-0.21780160557644856, -0.6614515347269659, 0], ori:[0.17487913312539938, 90, 6.263500219581047]
Object: ring, Seed: 420, Result: 0, vel: 5.315645914588794, roll:-0.028181593892464663, pos:[-0.19320709444401518, -0.9385723631115932, 0], ori:[3.681664792853784, 90, 3.6323984991555065]
Object: ring, Seed: 47530, Result: 0, vel: 5.18355512949535, roll:0.13732188123335748, pos:[-0.0061478598611652835, -0.7441765091017751, 0], ori:[-4.798388486851558, 90, 13.267940978508136]
Object: ring, Seed: 8160, Result: 0, vel: 5.945186040970332, roll:-0.1591459107199506, pos:[0.05726717594523839, -0.6909471188072548, 0], ori:[3.368506603742107, 90, -7.515762561041077]
Object: ring, Seed: 60197, Result: 0, vel: 5.718322165491014, roll:0.048546566039059824, pos:[-0.20333125145878006, 0.22590003485075383, 0], ori:[-2.7264971358827705, 90, -13.552368516694443]
Object: ring, Seed: 6761, Result: 0, vel: 5.1061112410119165, roll:-0.22691935565053478, pos:[-0.2195423061537602, -0.4354067444824118, 0], ori:[0.5265139891418151, 90, -4.573528762692515]
Object: ring, Seed: 90499, Result: 1, vel: 5.707530989348731, roll:-0.21884669762857734, pos:[-0.22951441320834287, -0.10476572690950814, 0], ori:[0.08435970271541837, 90, -10.862716274228895]
Object: ring, Seed: 24879, Result: 1, vel: 5.365364393096989, roll:-0.14587612930044724, pos:[0.01845074022463955, 0.3876739237242304, 0], ori:[-4.891275273825453, 90, -7.52689081723852]
Object: ring, Seed: 11854, Result: 0, vel: 5.001700875387266, roll:0.1339185319928684, pos:[-0.14838510333555283, -0.8247680547770206, 0], ori:[-3.0753741913241486, 90, -11.26810075187058]
Object: ring, Seed: 59826, Result: 1, vel: 5.075117444042049, roll:0.11441774174127362, pos:[-0.09024733542269464, -0.0482862994206692, 0], ori:[4.6731417783407885, 90, -5.461205357770268]
Object: ring, Seed: 10575, Result: 0, vel: 5.151855674797365, roll:-0.10553558915666572, pos:[-0.21603797642599692, -0.29620290374247804, 0], ori:[1.6851501966107163, 90, -1.1699228087245928]
Object: ring, Seed: 73931, Result: 0, vel: 5.648918647008015, roll:-0.2844165957975729, pos:[-0.23857891794761796, 0.7251047598953353, 0], ori:[-1.2546751562168765, 90, -9.461205819232367]
Object: ring, Seed: 35326, Result: 1, vel: 5.017069010875694, roll:0.25280006153648577, pos:[0.042339641247996274, -0.7812194339195289, 0], ori:[0.4368029134441107, 90, 9.40900542521829]
Object: ring, Seed: 42629, Result: 0, vel: 5.813087018945143, roll:-0.07345853657442819, pos:[-0.10959231801793756, 0.1489287714107408, 0], ori:[2.649336174671239, 90, -2.484467697739378]
Object: ring, Seed: 94161, Result: 1, vel: 5.8713646876930525, roll:0.2565677794905961, pos:[-0.19149953770665634, 0.09543050612106097, 0], ori:[3.66080272497973, 90, 11.277859491296983]
Object: ring, Seed: 11458, Result: 0, vel: 5.574344916879408, roll:0.019066473893770697, pos:[-0.18342813611566533, 0.7402021788427013, 0], ori:[-2.7584975709848933, 90, 9.849119543711623]
Object: ring, Seed: 23618, Result: 0, vel: 5.720083103652617, roll:-0.1722908726898336, pos:[-0.10035184318800344, 0.8874804325755943, 0], ori:[2.976856135858191, 90, 8.254776873224948]
Object: ring, Seed: 14594, Result: 0, vel: 5.740841807287674, roll:0.2888206320919772, pos:[-0.12007853045908104, 0.7820527630526877, 0], ori:[2.51350623071081, 90, 13.900809018375302]
Object: ring, Seed: 51679, Result: 0, vel: 5.146659006752188, roll:-0.042381537696694116, pos:[-0.2455080721263779, -0.5405405701589043, 0], ori:[0.5611504906829579, 90, -11.413529925094924]
Object: ring, Seed: 63362, Result: 0, vel: 5.545403834011179, roll:-0.10665615916488955, pos:[-0.0016487444652988348, -0.85013519786722, 0], ori:[3.1991812518943856, 90, -0.3268737581213319]
Object: ring, Seed: 43158, Result: 0, vel: 5.054985885502607, roll:-0.0015062076666098045, pos:[-0.20779564831644254, 0.6185469251919606, 0], ori:[1.053381052527973, 90, -13.317423005158496]
Object: ring, Seed: 83585, Result: 0, vel: 5.24437272193731, roll:-0.1814436514182951, pos:[-0.2756257139821018, 0.677032248566867, 0], ori:[0.3626090988966899, 90, -7.2261133310115335]
Object: ring, Seed: 28173, Result: 0, vel: 5.5603179541332945, roll:-0.188352005883999, pos:[0.06330324910121937, -0.5786294385183745, 0], ori:[2.9764500975412087, 90, -8.907537614105003]
Object: ring, Seed: 70584, Result: 1, vel: 5.666049945545492, roll:-0.02439117718643463, pos:[-0.25172870717541174, -0.19459108591889818, 0], ori:[-3.3899997378782043, 90, 7.162377416690358]
Object: ring, Seed: 40657, Result: 1, vel: 5.810112179349554, roll:0.020399719986470055, pos:[-0.25162567565215005, -0.16859739631288262, 0], ori:[1.82708660131793, 90, -2.8031556566656803]
Object: ring, Seed: 95538, Result: 1, vel: 5.874991809194929, roll:0.21490439323259486, pos:[-0.03418064797872444, -0.9795539812694322, 0], ori:[0.5044199494684776, 90, 8.08558709570459]
Object: ring, Seed: 59115, Result: 0, vel: 5.485518255808545, roll:0.06435453386457224, pos:[-0.16010776989963466, -0.7593168158110717, 0], ori:[0.38474278719250776, 90, -10.624362161437993]
Object: ring, Seed: 90794, Result: 0, vel: 5.93782614620241, roll:-0.10371512915617814, pos:[-0.19853998064456374, 0.27105749293540105, 0], ori:[2.4490060895772494, 90, 3.478822473406151]
Object: ring, Seed: 57462, Result: 0, vel: 5.620440580875201, roll:-0.13018023338070148, pos:[-0.11856100428912658, -0.9697218997109145, 0], ori:[-3.871490656188091, 90, 4.996852604048801]
Object: ring, Seed: 83020, Result: 1, vel: 5.2111758117705875, roll:-0.11499156420533485, pos:[0.05514159214059722, -0.4151689970634309, 0], ori:[-2.7325505731549624, 90, 0.8368368419759769]
Object: ring, Seed: 14256, Result: 0, vel: 5.340087938620187, roll:0.29153511022212847, pos:[-0.06417455460631369, 0.9407525480451373, 0], ori:[-4.158450420061035, 90, -2.7638825003139793]
Object: ring, Seed: 39159, Result: 1, vel: 5.824317946910494, roll:0.026730407283767077, pos:[-0.14485419147831485, 0.21481103851639904, 0], ori:[-1.9319177984144997, 90, -6.166980222936244]
Object: ring, Seed: 10364, Result: 0, vel: 5.435635974187876, roll:-0.11131633437899546, pos:[-0.24631984772364593, 0.316638977815658, 0], ori:[4.654625398671154, 90, 4.36757957954217]
Object: ring, Seed: 45597, Result: 1, vel: 5.490427981148371, roll:0.29081529973270653, pos:[-0.0011365017297191304, -0.26940473633070217, 0], ori:[-0.9056379977318807, 90, 13.592867516395923]
Object: ring, Seed: 49845, Result: 1, vel: 5.820973746675817, roll:0.1251558368115846, pos:[-0.2875672065506201, -0.18803249757202378, 0], ori:[1.3777794032228128, 90, -1.2868279384178933]
Object: ring, Seed: 4870, Result: 0, vel: 5.0394627039403215, roll:-0.0737528779063413, pos:[0.06631632942393512, -0.4627794063586155, 0], ori:[0.8255290322961422, 90, 5.4421899523676345]
Object: ring, Seed: 25495, Result: 0, vel: 5.401848213414597, roll:-0.2606324073195588, pos:[0.09400979485472244, -0.8158717558061563, 0], ori:[-2.3826182710003865, 90, -12.901280796714527]
Object: ring, Seed: 28114, Result: 1, vel: 5.875082414813506, roll:-0.058906185793619115, pos:[-0.0024561548693251556, -0.5323809190468457, 0], ori:[2.75129471354046, 90, -7.332898155873522]
Object: ring, Seed: 4610, Result: 0, vel: 5.455710914668119, roll:-0.18364598692267736, pos:[-0.02543335930409557, -1.1413198287260158, 0], ori:[-1.2980844573188977, 90, 4.3136855053983645]
Object: ring, Seed: 53414, Result: 0, vel: 5.092841484871211, roll:-0.10807013619153175, pos:[-0.09931347525700557, 1.1147987452743215, 0], ori:[-0.9151658725996095, 90, 12.334812382930611]
Object: ring, Seed: 16749, Result: 0, vel: 5.633590079264986, roll:0.06579626643935432, pos:[-0.1262585986217701, 1.1650136761936525, 0], ori:[-0.1421495136073787, 90, 11.243965859139628]
Object: ring, Seed: 8957, Result: 1, vel: 5.703042644464809, roll:0.027587149557237733, pos:[-0.18547042533155536, 0.46643607352182115, 0], ori:[3.543342297133375, 90, -7.606266222080926]
Object: ring, Seed: 58882, Result: 0, vel: 5.211326132533885, roll:0.2516878889903876, pos:[0.028990064781945435, -0.2057310251145189, 0], ori:[-1.90420750521332, 90, 6.710418088150448]
Object: ring, Seed: 91157, Result: 0, vel: 5.170886062782426, roll:-0.2793471741580619, pos:[-0.030006358817512624, -0.5871988531387693, 0], ori:[0.8059983652290095, 90, 6.058710107180662]
Object: ring, Seed: 16318, Result: 1, vel: 5.488447395441348, roll:-0.04850168035505664, pos:[-0.11800591708094293, 0.1049215753496131, 0], ori:[-2.3799200543778873, 90, 13.157138757450852]
Object: ring, Seed: 62277, Result: 0, vel: 5.499030487370997, roll:-0.017651584271858978, pos:[0.06647720427626358, 0.40845410852494357, 0], ori:[-3.4461441511798907, 90, 3.6530614052948565]
Object: ring, Seed: 84700, Result: 0, vel: 5.1966064178309495, roll:-0.29190962018598104, pos:[-0.26656084315366857, 1.0386968309372924, 0], ori:[4.801146994987748, 90, 2.4700616314968045]
Object: ring, Seed: 76427, Result: 1, vel: 5.5541080166291295, roll:-0.18207715162069632, pos:[-0.027007216428176273, 0.3882284335130506, 0], ori:[3.729783757811955, 90, -9.6042323423704]
Object: ring, Seed: 22849, Result: 0, vel: 5.862754949890302, roll:0.1915010214446547, pos:[-0.2454049782054148, 0.881345009314561, 0], ori:[-1.416556450257497, 90, -12.065089971784147]
