Object: ring, Seed: 53495, Result: 0, vel: 5.197832618942523, roll:0.0072656951565842065, pos:[-0.2826116383775392, -0.9449113589517592, 0], ori:[-2.995732214099726, 90, -8.041349625990275]
Object: ring, Seed: 28486, Result: 0, vel: 5.988749473206067, roll:0.11280121483239297, pos:[-0.24759416737888207, 1.0062937840688602, 0], ori:[-4.1342169879838035, 90, -1.5825252857761196]
Object: ring, Seed: 84476, Result: 0, vel: 5.1142133742021265, roll:0.1984783512459235, pos:[0.012162681867297298, 0.5260467416641241, 0], ori:[2.1695596308047715, 90, -1.2399841542311965]
Object: ring, Seed: 10750, Result: 0, vel: 5.847460462938867, roll:0.1993653848346741, pos:[-0.17268979920017208, 0.5583879153776254, 0], ori:[-2.90559659228966, 90, 13.695740587531702]
Object: ring, Seed: 74668, Result: 0, vel: 5.686342068205593, roll:0.14387298945283578, pos:[0.04296642524138328, 0.6986988875539868, 0], ori:[0.4966476269718987, 90, -13.453762884955077]
Object: ring, Seed: 8245, Result: 0, vel: 5.5811262983648335, roll:0.0842388798344943, pos:[-0.20700075141749863, -1.1307483951151245, 0], ori:[3.7828844539798396, 90, 6.321668531149744]
Object: ring, Seed: 74933, Result: 0, vel: 5.816379478982851, roll:-0.22527662261540082, pos:[-0.17461491858130102, 0.8729647580787983, 0], ori:[1.5446551545214682, 90, -8.958298133638339]
Object: ring, Seed: 18999, Result: 0, vel: 5.204408193708854, roll:0.2585650913342104, pos:[-0.24483133340183108, 0.35755018402795957, 0], ori:[-2.818490482545478, 90, -2.3121328958214775]
Object: ring, Seed: 88508, Result: 0, vel: 5.732324498592876, roll:0.02610341972988961, pos:[-0.18729662153696025, 0.9589090954577462, 0], ori:[4.18769498498637, 90, 9.700645605161146]
Object: ring, Seed: 99617, Result: 0, vel: 5.8272954443271985, roll:-0.22677198764065765, pos:[0.026337701350891363, -0.6802795954267874, 0], ori:[-4.409281727039728, 90, -11.471769094668947]
Object: ring, Seed: 36308, Result: 0, vel: 5.086631707174184, roll:-0.19353260651502735, pos:[0.029450858935251345, 1.1026600478269166, 0], ori:[1.2471725146577164, 90, -2.295068355299474]
Object: ring, Seed: 94543, Result: 0, vel: 5.809064066816345, roll:-0.04763769440478538, pos:[-0.10083057740800008, -0.7237690910141372, 0], ori:[-1.8454614242258707, 90, -13.06171066226469]
Object: ring, Seed: 94489, Result: 0, vel: 5.97913285276747, roll:-0.12626890302545654, pos:[-0.12041779510233247, -0.13769133761647656, 0], ori:[3.4084726015005966, 90, 9.120897671810603]
Object: ring, Seed: 72781, Result: 1, vel: 5.579630402373163, roll:-0.21064878994250302, pos:[-0.1237390660553854, -0.4480179085667465, 0], ori:[-1.1336723302509721, 90, -2.4920918026714567]
Object: ring, Seed: 5910, Result: 1, vel: 5.568250794933713, roll:0.22857166060869855, pos:[-0.11377260098498365, -1.105039041627503, 0], ori:[-4.151198468947159, 90, 2.9204539081136787]
Object: ring, Seed: 72195, Result: 0, vel: 5.025047283212487, roll:0.05303078647278364, pos:[-0.2571086515081577, -0.47480735256437134, 0], ori:[1.0887724173528195, 90, -0.6205167161535723]
Object: ring, Seed: 68470, Result: 0, vel: 5.140818274397992, roll:-0.014370436556273791, pos:[-0.08047443035116711, -0.8499979139843266, 0], ori:[2.948906930049451, 90, -10.761414882325935]
Object: ring, Seed: 69266, Result: 0, vel: 5.698142447275459, roll:0.016629248291991083, pos:[0.029605688470341007, 0.5914979977555954, 0], ori:[2.30574290233048, 90, 3.8792834248916783]
Object: ring, Seed: 17555, Result: 0, vel: 5.5166100027625955, roll:0.22444550079501707, pos:[-0.15948610654178672, 0.908711347692398, 0], ori:[-1.50462908229696, 90, -13.073325718148084]
