Object: ring, Seed: 1460, Result: 0, vel: 5.565199799879615, pos:[-0.2149351371284226, 1.1003013421768022, 0], ori:[0.1464866808056371, 90, -1.8721539677944499]
Object: ring, Seed: 69383, Result: 0, vel: 5.986358832255722, pos:[-0.033428979176517326, 0.6445435117354388, 0], ori:[1.1730010148289232, 90, 4.9410408341723056]
Object: ring, Seed: 20865, Result: 1, vel: 5.914461890188938, pos:[-0.2934716889466493, -0.4108070509733658, 0], ori:[-2.3412280017374143, 90, 12.022703165913104]
Object: ring, Seed: 78574, Result: 1, vel: 5.863805462053413, pos:[-0.28178785588450006, 0.3961813226266975, 0], ori:[4.538451334729395, 90, 5.0969788991733935]
Object: ring, Seed: 66821, Result: 0, vel: 5.391312584248556, pos:[-0.025354982764387746, 0.5485465645026384, 0], ori:[3.644819256766379, 90, 0.43452834318821587]
Object: ring, Seed: 35762, Result: 0, vel: 5.899694436257333, pos:[-0.14772905817073567, 0.5460625213293127, 0], ori:[-2.636002027711679, 90, 11.078486902219183]
Object: ring, Seed: 37738, Result: 1, vel: 5.096262223548078, pos:[-0.04028085603482118, -0.29248882465741255, 0], ori:[-3.5039858292261217, 90, 0.8268465212977638]
Object: ring, Seed: 52341, Result: 0, vel: 5.815830832948266, pos:[-0.23836585847473102, -0.4358216280646908, 0], ori:[1.3634783379922126, 90, 13.220616288782004]
Object: ring, Seed: 76263, Result: 0, vel: 5.892725473602976, pos:[-0.03284037196617401, 0.5814504977877228, 0], ori:[1.0816976524921387, 90, 10.534903879130557]
Object: ring, Seed: 82906, Result: 0, vel: 5.974326351208766, pos:[-0.038109802363150924, -0.9615418834654963, 0], ori:[-0.4883876680633161, 90, 4.69911048442048]
Object: ring, Seed: 60464, Result: 0, vel: 5.536951958664742, pos:[-0.04081461520652557, -0.8965226869646192, 0], ori:[-3.833491862244909, 90, 2.759779758167621]
Object: ring, Seed: 62009, Result: 0, vel: 5.073600153193559, pos:[-0.07994500349411005, 0.06330029578658114, 0], ori:[-1.1521819787936716, 90, -13.404618196779252]
Object: ring, Seed: 35106, Result: 1, vel: 5.800784335428984, pos:[-0.24076253567959094, -0.4589943524798771, 0], ori:[3.0208477875833815, 90, 6.461168955414109]
Object: ring, Seed: 68978, Result: 0, vel: 5.435602835604691, pos:[-0.007145168129483459, -1.0503835222832736, 0], ori:[-0.663804880060904, 90, 10.14807758578868]
Object: ring, Seed: 73139, Result: 0, vel: 5.567925459123242, pos:[-0.03462776245031729, 0.9589240797369538, 0], ori:[-3.843610239689401, 90, -0.4967273323283976]
