Object: noodle, Seed: 71709, Result: 0, vel: 5.585018950201841, roll:-0.1698026943414176, pos:[-0.11241936217616583, 0.7067011397710663, 0], ori:[90, 0.036737455256706575, -8.07936168535469]
Object: noodle, Seed: 95918, Result: 1, vel: 5.103108411547978, roll:-0.2011362835955956, pos:[-0.0013233803148064993, 0.35184199823318174, 0], ori:[90, -1.960580598061814, -8.272467918637474]
Object: noodle, Seed: 10928, Result: 0, vel: 5.008268760999982, roll:0.04417884682325446, pos:[-0.0851278073647374, 1.0143462041052749, 0], ori:[90, 1.104790486470364, 11.050014439905759]
Object: noodle, Seed: 73697, Result: 1, vel: 5.743560020580605, roll:-0.17614340104110499, pos:[-0.27016333752336474, -0.06132332847306343, 0], ori:[90, -4.927263923697659, -13.653832124948641]
Object: noodle, Seed: 55730, Result: 0, vel: 5.188645878455228, roll:0.27413671662247113, pos:[-0.08539711400467279, 0.0014752553636898647, 0], ori:[90, -1.95072447426756, -3.510047700445453]
Object: noodle, Seed: 80032, Result: 1, vel: 5.857658086493633, roll:-0.037330205250750814, pos:[-0.1746379857669122, -0.5823864885779259, 0], ori:[90, 3.1096523668173894, 7.339242319264834]
Object: noodle, Seed: 68153, Result: 1, vel: 5.984836407235505, roll:0.21580240697661418, pos:[-0.2910647949646927, -1.0184675121770421, 0], ori:[90, -0.6069419325316616, -2.3847632364820743]
Object: noodle, Seed: 81890, Result: 1, vel: 5.448067630640779, roll:0.12681162177287797, pos:[0.031200909369114127, -0.5528010601363325, 0], ori:[90, -1.196379194418673, 7.5485471390041745]
Object: noodle, Seed: 53667, Result: 1, vel: 5.097904165391307, roll:0.2592584612963848, pos:[-0.2158427441161847, -1.1111615209764845, 0], ori:[90, -4.087617811969285, 9.382281950537305]
Object: noodle, Seed: 84822, Result: 1, vel: 5.112340332557007, roll:-0.2806309747821006, pos:[-0.08157566386010762, 0.8066277052038016, 0], ori:[90, 3.8112591860336362, -1.103896570999222]
Object: noodle, Seed: 1614, Result: 1, vel: 5.129494459379122, roll:0.09563144594282957, pos:[-0.11772582416336272, -0.6088368358237838, 0], ori:[90, 4.843469429611352, 8.358032950876343]
Object: noodle, Seed: 12926, Result: 1, vel: 5.187286673377724, roll:0.006453670812261392, pos:[-0.04814583277465634, -0.2388275742043613, 0], ori:[90, 3.2363387749310455, 13.665226864544039]
Object: noodle, Seed: 43202, Result: 1, vel: 5.555490098352808, roll:-0.20136663358732904, pos:[0.09941299840562856, 1.157641765835525, 0], ori:[90, 0.7787183171889662, -10.4221702756622]
Object: noodle, Seed: 72691, Result: 0, vel: 5.645571073540128, roll:-0.18407985590895126, pos:[-0.06811603681909845, 0.11135741722543746, 0], ori:[90, -0.7318155782754125, -6.859090800916432]
Object: noodle, Seed: 65769, Result: 1, vel: 5.3459511068845265, roll:-0.27957089210377056, pos:[-0.03717668696551746, 0.5640936735774389, 0], ori:[90, 4.621322897765639, 10.865552396460206]
Object: noodle, Seed: 19386, Result: 0, vel: 5.606669581559193, roll:-0.2754014115869807, pos:[-0.1780322870292982, 0.2865265593738622, 0], ori:[90, 4.2168542571116205, 7.355644191775397]
Object: noodle, Seed: 27677, Result: 1, vel: 5.000081193946047, roll:0.26766238429948724, pos:[0.0270879672672818, -0.832202768962566, 0], ori:[90, 2.269714858419734, -11.119773251213228]
Object: noodle, Seed: 51876, Result: 1, vel: 5.617932954011402, roll:0.23402763444376945, pos:[-0.23176442482328213, -1.0639226735637963, 0], ori:[90, 0.9179195381040977, 4.701621700174215]
Object: noodle, Seed: 5559, Result: 0, vel: 5.630061197192487, roll:0.19152940010099034, pos:[-0.051151031897224086, -0.8155157056045346, 0], ori:[90, 4.994891965638139, -4.018965353098444]
Object: noodle, Seed: 8171, Result: 1, vel: 5.597769511835477, roll:-0.06522874915492297, pos:[-0.2751685937594148, -0.8004399754560614, 0], ori:[90, 4.214814292455749, -7.466109616463296]
Object: noodle, Seed: 62150, Result: 1, vel: 5.689869325709577, roll:-0.2908848298873508, pos:[-0.22838934045948395, 0.5428231573542261, 0], ori:[90, 2.4970241137964067, -7.019158567342636]
Object: noodle, Seed: 46132, Result: 1, vel: 5.381418499783856, roll:-0.11589420699468617, pos:[-0.29133553834107784, 0.6388697838120849, 0], ori:[90, -3.583472042331696, 2.860712444340784]
Object: noodle, Seed: 71837, Result: 1, vel: 5.502497486836591, roll:-0.1592960764001491, pos:[-0.2563103067411926, -0.4285475749086124, 0], ori:[90, 3.7688488725786122, -4.269573445608994]
Object: noodle, Seed: 82311, Result: 1, vel: 5.113641596287129, roll:0.13157966519472664, pos:[-0.13270079320612005, 0.1659825681425, 0], ori:[90, 3.694674952231056, 5.20080888020518]
Object: noodle, Seed: 48405, Result: 0, vel: 5.235060667386188, roll:0.037292922590059785, pos:[-0.12840631237892902, 0.6010843946274056, 0], ori:[90, 2.180754224888444, -2.468318150220595]
Object: noodle, Seed: 59355, Result: 1, vel: 5.020461209295749, roll:-0.25002227888024786, pos:[-0.14334181752231293, -0.47437452744590436, 0], ori:[90, -0.1665140499337836, -6.02200233769147]
Object: noodle, Seed: 47366, Result: 1, vel: 5.495749486280813, roll:0.031270124962426815, pos:[-0.16481245688851295, 0.47396727576749065, 0], ori:[90, -0.7810975769588655, -3.8335531763608177]
Object: noodle, Seed: 70386, Result: 1, vel: 5.13205554996398, roll:0.17573799885222086, pos:[-0.06188483597833502, 0.3642253101644184, 0], ori:[90, -0.9917920622563585, 10.212857438106177]
Object: noodle, Seed: 66562, Result: 1, vel: 5.535098980915196, roll:-0.11858852759292293, pos:[-0.05709176231911933, 0.8921502925643543, 0], ori:[90, 3.5989844167769736, -6.816432209517673]
Object: noodle, Seed: 67294, Result: 1, vel: 5.71648389237241, roll:0.01736640312127613, pos:[0.006233645066796356, -0.5268516235187004, 0], ori:[90, 1.5109446525919061, 1.7491193494244222]
Object: noodle, Seed: 86187, Result: 1, vel: 5.1088819727885735, roll:0.27262402011442705, pos:[-0.1274428627011473, 0.4614479791515913, 0], ori:[90, -4.158634703626959, 12.681441018126066]
Object: noodle, Seed: 86496, Result: 0, vel: 5.403781541975462, roll:0.039509712435178035, pos:[-0.12561532040806445, -0.7443196153530229, 0], ori:[90, -1.7835950753879946, 6.134095650169471]
Object: noodle, Seed: 97064, Result: 1, vel: 5.1429135405485376, roll:-0.03454053169237192, pos:[-0.08800213386350136, -0.8150751259402333, 0], ori:[90, 2.0541925710068663, 8.661265661938376]
Object: noodle, Seed: 90026, Result: 1, vel: 5.706123928412009, roll:0.08788601441763016, pos:[-0.10448162172771241, 0.1696219753111614, 0], ori:[90, 2.524797799702573, 11.474025647651718]
Object: noodle, Seed: 42041, Result: 0, vel: 5.747252612756114, roll:0.19822103234958605, pos:[0.02874722878548236, 0.4962262862793334, 0], ori:[90, -2.099283056403939, -8.971417615867344]
Object: noodle, Seed: 60124, Result: 0, vel: 5.545167474244441, roll:-0.2934464614929478, pos:[-0.27714445267632454, 1.0296578926045237, 0], ori:[90, 0.6119264322185858, -8.460762950050068]
Object: noodle, Seed: 11473, Result: 1, vel: 5.703949793381925, roll:-0.1464399147707145, pos:[-0.18633307361340218, 0.7969872556434436, 0], ori:[90, 4.435751677307145, 3.2690455708576245]
