Object: ring, Seed: 67631, Result: 1, vel: 5.640350325477114, roll:-0.0970695239716044, pos:[-0.2875563027251084, 1.1254644662675928, 0], ori:[2.16027171875775, 90, -1.4149167572533763]
Object: ring, Seed: 83848, Result: 1, vel: 5.279640723354054, roll:0.03169207950050229, pos:[0.04829978026922355, 1.0897196020944622, 0], ori:[3.5880717616126923, 90, -0.9489955330879809]
Object: ring, Seed: 4441, Result: 0, vel: 5.240446966751904, roll:0.2797180950933276, pos:[0.02429198583746739, 1.0004110307506424, 0], ori:[2.6851793601063694, 90, -13.031404007296423]
Object: ring, Seed: 57821, Result: 1, vel: 5.725770831388331, roll:0.25636099392017414, pos:[-0.26599838927695224, 0.8790774082441637, 0], ori:[3.866334106072861, 90, 12.490649859352395]
Object: ring, Seed: 74131, Result: 1, vel: 5.537749061349979, roll:-0.06254743097668608, pos:[-0.12907491273397836, 0.8927345179591784, 0], ori:[0.27379673291372786, 90, 4.922066262395038]
Object: ring, Seed: 46620, Result: 0, vel: 5.289943068166215, roll:-0.27073606669785744, pos:[-0.0043670254507834905, -0.6500331993784115, 0], ori:[2.6453892244791986, 90, 7.540864669546735]
Object: ring, Seed: 49849, Result: 0, vel: 5.3865251034616835, roll:0.15365410368678173, pos:[0.030438529123467728, 0.44588730802469545, 0], ori:[2.2587170127977494, 90, -6.531143561935183]
Object: ring, Seed: 72497, Result: 0, vel: 5.385216144525442, roll:-0.06763885212506565, pos:[-0.14431725788073166, -1.025258041913312, 0], ori:[-4.583688505106177, 90, 11.229590363866084]
Object: ring, Seed: 70715, Result: 1, vel: 5.841865883345176, roll:-0.22211733747100215, pos:[-0.10879444166643787, 0.7572657597990284, 0], ori:[1.2365037623786055, 90, -8.657808688273384]
Object: ring, Seed: 49464, Result: 0, vel: 5.1379696521036005, roll:-0.10835480343578358, pos:[-0.10127673161179113, 0.6213618335834243, 0], ori:[-3.3770126644116805, 90, 13.897086927571362]
Object: ring, Seed: 2823, Result: 1, vel: 5.9885969427403545, roll:-0.1987743902223265, pos:[-0.25682647577299156, 0.0860544465942692, 0], ori:[-2.761131962406086, 90, 2.4719635565091522]
Object: ring, Seed: 96043, Result: 0, vel: 5.423711903075368, roll:-0.023170679742107847, pos:[0.08721903191355279, -0.6196336003209831, 0], ori:[-3.954465381229666, 90, -3.8613029948358015]
Object: ring, Seed: 81343, Result: 1, vel: 5.184789157771447, roll:-0.10919840682229559, pos:[-0.0423981169882815, -0.509363748378192, 0], ori:[-4.004584825221213, 90, 4.08886375129309]
Object: ring, Seed: 71297, Result: 1, vel: 5.850943706717576, roll:-0.2931847961299597, pos:[-0.06063395642443725, -0.31397284778530443, 0], ori:[-0.7768000871238527, 90, -11.548910757271736]
Object: ring, Seed: 84090, Result: 0, vel: 5.801823374307964, roll:0.0906532898659761, pos:[-0.08188920872033917, 1.166241639456602, 0], ori:[3.8235662586048544, 90, -11.547578946999987]
Object: ring, Seed: 26835, Result: 0, vel: 5.555244573548522, roll:-0.22417667889901355, pos:[-0.13236212460399785, -1.139606233482133, 0], ori:[-0.8400453826953456, 90, -0.6705905815824398]
Object: ring, Seed: 63733, Result: 1, vel: 5.356430789978222, roll:0.05814517219038373, pos:[-0.22777409690855016, 0.3453701990776403, 0], ori:[-2.8960549242503832, 90, -2.4739056375834885]
Object: ring, Seed: 42377, Result: 0, vel: 5.1986826920653595, roll:0.010971818940937406, pos:[-0.10536417137204795, -1.1465839715926567, 0], ori:[-0.03012274584858865, 90, -2.114099849305264]
Object: ring, Seed: 15961, Result: 1, vel: 5.131084943257171, roll:-0.03203720512207264, pos:[-0.11358035594873195, -0.11637399572565776, 0], ori:[1.3944779790972923, 90, 4.341632412416132]
Object: ring, Seed: 59959, Result: 1, vel: 5.71065449155132, roll:0.08979248213413465, pos:[-0.04456255259741365, 0.2131636014282181, 0], ori:[3.1250544764453654, 90, 6.180480389184421]
Object: ring, Seed: 86365, Result: 0, vel: 5.060208330247887, roll:-0.20849854315830993, pos:[0.06607298596075711, -0.17671490347742247, 0], ori:[-4.112350432725692, 90, 8.264244232715207]
Object: ring, Seed: 1449, Result: 0, vel: 5.944012556792003, roll:-0.07652493167934746, pos:[-0.07707178089323355, -0.6752163801159313, 0], ori:[-0.6414904718473036, 90, -7.726538482700924]
Object: ring, Seed: 54238, Result: 0, vel: 5.151315939745164, roll:-0.0632749369782625, pos:[-0.26379420966851863, 0.5442686221410831, 0], ori:[-1.0311385508605184, 90, 3.777272213316987]
Object: ring, Seed: 13275, Result: 1, vel: 5.7100604857492145, roll:0.18921914753137292, pos:[-0.0014294887995778272, 0.36879732162006107, 0], ori:[-4.5048262166279605, 90, 10.072785074488579]
Object: ring, Seed: 60722, Result: 0, vel: 5.930966271165089, roll:-0.08890929066339653, pos:[0.06218408983586704, -1.0662723562855316, 0], ori:[-4.644726526637646, 90, 13.524680782914704]
Object: ring, Seed: 79652, Result: 0, vel: 5.599279008885588, roll:0.08876640652762724, pos:[0.09201794989331286, 0.6394046738428998, 0], ori:[-0.7857008493510289, 90, -11.941584608186236]
Object: ring, Seed: 24536, Result: 0, vel: 5.654198811376272, roll:0.0466132184751204, pos:[-0.2696420993971298, -0.9591899099627845, 0], ori:[2.3403080380094483, 90, -10.696419584787048]
Object: ring, Seed: 25987, Result: 0, vel: 5.012133305283335, roll:0.2591750787583786, pos:[-0.29522695033495683, -0.164269256010114, 0], ori:[-2.993734150193783, 90, 5.284819526727112]
Object: ring, Seed: 8731, Result: 1, vel: 5.154326539378918, roll:0.05115071142427774, pos:[0.0887116478856263, 0.5755507287487651, 0], ori:[-0.24378679464520747, 90, -7.728323302549519]
Object: ring, Seed: 59176, Result: 1, vel: 5.650161013820053, roll:-0.12728710878505398, pos:[-0.23851548855868376, -0.7017216898403479, 0], ori:[-3.296286801529509, 90, 5.809407304703708]
Object: ring, Seed: 95762, Result: 0, vel: 5.9489510602135915, roll:0.26939939925980355, pos:[0.0018836535940490173, 0.07614353111821481, 0], ori:[-0.7127053737668207, 90, 6.399047951623107]
Object: ring, Seed: 78171, Result: 1, vel: 5.511791716465027, roll:-5.224195466263515e-05, pos:[0.07981327714732261, 0.21458063649582826, 0], ori:[2.492822838638004, 90, 5.464942425936194]
Object: ring, Seed: 35882, Result: 0, vel: 5.6311641921442055, roll:0.14348681441628025, pos:[0.00699150267068227, -1.1274544224844119, 0], ori:[0.24777658431513228, 90, 8.399235780184434]
Object: ring, Seed: 43254, Result: 1, vel: 5.991445705803607, roll:-0.17107318000657853, pos:[0.0839159444150347, 0.8729670979334487, 0], ori:[-0.22620909403302836, 90, -3.6243407324496477]
Object: ring, Seed: 1687, Result: 0, vel: 5.691586352032294, roll:0.0784843655976345, pos:[-0.1329121272423655, 1.0233103184335606, 0], ori:[3.0296003828340403, 90, 8.59828419475588]
Object: ring, Seed: 31905, Result: 0, vel: 5.348794287054023, roll:0.1774827530836242, pos:[0.044833555736292496, 0.5958323122853528, 0], ori:[-0.24094351396794345, 90, -10.138597117303625]
Object: ring, Seed: 21245, Result: 1, vel: 5.1459227224320365, roll:0.010120388485352572, pos:[-0.18865257937711266, 0.15368037341047902, 0], ori:[3.412851691092442, 90, 10.301970964278034]
Object: ring, Seed: 81980, Result: 1, vel: 5.865357386722545, roll:-0.1784114709779066, pos:[-0.11471367258290471, 0.21965935825379224, 0], ori:[-0.2948257751861041, 90, -2.814005338472146]
Object: ring, Seed: 86252, Result: 0, vel: 5.457704839671032, roll:-0.2295846130814043, pos:[-0.14589287737015158, -0.7179968415596071, 0], ori:[-1.3638129396569698, 90, 13.191042188401838]
Object: ring, Seed: 15284, Result: 1, vel: 5.421374983735273, roll:0.06088306900601448, pos:[0.006493326186458925, 1.1188466418282592, 0], ori:[2.424837973033009, 90, 1.572851665652843]
Object: ring, Seed: 58917, Result: 0, vel: 5.2169527543601895, roll:-0.0062153151661318295, pos:[-0.14024197847101363, -0.9463638238324819, 0], ori:[-3.4829846058270606, 90, -9.057949857076077]
Object: ring, Seed: 62100, Result: 0, vel: 5.028782905658366, roll:0.27799791222932385, pos:[-0.0044487448517756545, -0.7294334006104761, 0], ori:[-2.6010192095908535, 90, -6.0493485470914505]
Object: ring, Seed: 16380, Result: 1, vel: 5.37387517897422, roll:-0.13741932686498018, pos:[-0.29496157849827004, 0.6958140669560609, 0], ori:[3.2053025415366676, 90, -13.610382552858994]
Object: ring, Seed: 30573, Result: 1, vel: 5.603823350638903, roll:0.24464969391413854, pos:[0.011104420523255665, 0.7206548950597336, 0], ori:[3.3669591985152465, 90, -2.22450330502741]
Object: ring, Seed: 96245, Result: 0, vel: 5.356259906240857, roll:0.27472928453538953, pos:[-0.21849540200308162, 0.30968947651934897, 0], ori:[-2.593204416934473, 90, 5.457412617106925]
Object: ring, Seed: 58969, Result: 1, vel: 5.996825163440912, roll:0.14555911395494708, pos:[-0.014042058208860009, -0.4036226026287748, 0], ori:[-4.555344044303383, 90, -5.798811547028311]
Object: ring, Seed: 59096, Result: 0, vel: 5.508134890208714, roll:-0.12456750001717137, pos:[-0.029539220060097238, -0.2906891438832556, 0], ori:[0.04408642922320283, 90, -10.211859367521237]
Object: ring, Seed: 76607, Result: 1, vel: 5.278082442050746, roll:0.2351127977352318, pos:[-0.24376061278524275, 0.25126270023274344, 0], ori:[3.4523674738956736, 90, 2.317625564123624]
Object: ring, Seed: 76000, Result: 1, vel: 5.601591809713975, roll:0.10339800603804544, pos:[-0.2512580075485487, -0.5157783059844786, 0], ori:[0.05520412683310205, 90, 13.041333811559305]
Object: ring, Seed: 96799, Result: 0, vel: 5.023603946830537, roll:0.23446347573382015, pos:[-0.22416150868115772, -0.5530586248448278, 0], ori:[1.6956128987348222, 90, -7.262292231783245]
Object: ring, Seed: 56753, Result: 1, vel: 5.42611856052434, roll:-0.19890720284716465, pos:[0.029566363909925564, -0.004157342235466599, 0], ori:[-3.9810460920004043, 90, -2.902123724439491]
Object: ring, Seed: 82242, Result: 1, vel: 5.942904800468764, roll:0.2710321921489565, pos:[-0.014543520200077265, -0.9865449810831888, 0], ori:[2.7293055820093954, 90, -2.8297515664257027]
Object: ring, Seed: 91696, Result: 1, vel: 5.482029565970539, roll:-0.089035156340287, pos:[-0.13095923825736916, -0.5700521732510907, 0], ori:[-3.0605380943705276, 90, -1.6540843125192861]
Object: ring, Seed: 2162, Result: 1, vel: 5.676734414024219, roll:0.29609031997351504, pos:[-0.15136069211379966, 0.7397445100885667, 0], ori:[-0.30273326137187784, 90, -7.592218025670228]
Object: ring, Seed: 55176, Result: 1, vel: 5.165592203166412, roll:-0.09057746129567631, pos:[-0.04382606466479039, 0.769328071603675, 0], ori:[1.2196713443499227, 90, 13.590054946849673]
Object: ring, Seed: 6928, Result: 1, vel: 5.2473323004576535, roll:0.20797496530378418, pos:[0.062277821144657186, -0.6892060028967213, 0], ori:[4.9632280994535485, 90, 3.366509278766472]
Object: ring, Seed: 83142, Result: 1, vel: 5.170861236625459, roll:-0.14904995998160311, pos:[-0.29024492025831333, -0.0005312957764762594, 0], ori:[3.7752308490105317, 90, 2.6373175393336616]
Object: ring, Seed: 31183, Result: 1, vel: 5.988854515950048, roll:0.1274424794350854, pos:[-0.07775619709586531, 0.48027055611110026, 0], ori:[0.9395025705241551, 90, -3.6152555782874707]
Object: ring, Seed: 20083, Result: 1, vel: 5.649266752581192, roll:0.03753372758464746, pos:[0.07107990615258758, -0.8165973735000098, 0], ori:[-3.491143432400187, 90, 6.9191965704253064]
Object: ring, Seed: 50560, Result: 1, vel: 5.924957523200784, roll:-0.02395292106354452, pos:[-0.04493980602790337, -0.822387003961701, 0], ori:[0.01818485123683633, 90, -10.083875892994325]
Object: ring, Seed: 1125, Result: 1, vel: 5.8803299626455034, roll:0.26309908409649635, pos:[-0.1627955985024697, 1.0796071398104068, 0], ori:[-3.284047589771383, 90, -5.426389527979275]
Object: ring, Seed: 64799, Result: 1, vel: 5.270910072302032, roll:0.17442076683393426, pos:[0.0952825656118651, 0.9272184005488688, 0], ori:[-0.20722850087905798, 90, -0.8126752889251208]
Object: ring, Seed: 6151, Result: 1, vel: 5.131436904270867, roll:-0.09064894550157157, pos:[-0.12673542854182876, -0.6788686822476967, 0], ori:[-0.722851530579697, 90, -7.35785633816052]
Object: ring, Seed: 14956, Result: 1, vel: 5.349857459051525, roll:0.21518649619340163, pos:[0.09649044873269458, -0.5164066624492084, 0], ori:[-2.7545485390679127, 90, 3.0884853461184925]
Object: ring, Seed: 98253, Result: 1, vel: 5.835944496999591, roll:0.05297886020073128, pos:[0.008297713799315987, -0.17994245350562532, 0], ori:[-3.4190286249077797, 90, 6.200291887448778]
Object: ring, Seed: 24129, Result: 1, vel: 5.061862382403183, roll:-0.07712622429037722, pos:[0.06001292361773314, -0.523730339191311, 0], ori:[4.708493395138213, 90, 13.60531651764989]
Object: ring, Seed: 36035, Result: 1, vel: 5.7029093380406275, roll:0.09904827478092709, pos:[-0.11669933830447132, 0.25627597622077447, 0], ori:[3.54657631807048, 90, 10.63249104463912]
