Object: noodle, Seed: 9357, Result: 1, vel: 5.939346083443442, pos:[-0.1315680743411332, 0.5995034619281756, 0], ori:[90, 3.6686335087339703, -4.791701344308024]
Object: noodle, Seed: 51705, Result: 0, vel: 5.165764359352032, pos:[-0.14616251591047108, 0.4113407067599293, 0], ori:[90, 2.4509373923704993, 1.9023298309462877]
Object: noodle, Seed: 16626, Result: 0, vel: 5.45899883406268, pos:[-0.10698620712335422, -0.16794506857251346, 0], ori:[90, -3.1179644351892186, -9.166480162955807]
Object: noodle, Seed: 67112, Result: 0, vel: 5.581282230609852, pos:[-0.17154061717326316, 0.7069945267409627, 0], ori:[90, 2.7967850930111604, -5.489590316465607]
Object: noodle, Seed: 9014, Result: 0, vel: 5.33997834579988, pos:[-0.28916089357016356, 0.44018214575486203, 0], ori:[90, 2.8892842372265948, -8.532542729286313]
Object: noodle, Seed: 4944, Result: 0, vel: 5.6377946201077105, pos:[-0.2521292001365892, 0.9283637726605252, 0], ori:[90, 3.742656858802585, -8.887265828144882]
Object: noodle, Seed: 25577, Result: 0, vel: 5.465524033691493, pos:[0.04509255312207633, 0.2624506417784527, 0], ori:[90, 2.4534170408783984, -12.818577628261664]
Object: noodle, Seed: 40884, Result: 0, vel: 5.5521872968111845, pos:[-0.2980055125877602, 0.0699335334791118, 0], ori:[90, -1.0052719365414253, -9.338320262918003]
Object: noodle, Seed: 95962, Result: 1, vel: 5.557782753570075, pos:[-0.23784413013589778, -1.0987179076551346, 0], ori:[90, -4.56686462152173, -7.109220625020022]
Object: noodle, Seed: 8076, Result: 0, vel: 5.85576049622091, pos:[-0.21445018417197906, 0.27871282186353574, 0], ori:[90, 1.8378361441086453, -3.2911628487183577]
Object: noodle, Seed: 43377, Result: 1, vel: 5.57724975298493, pos:[-0.07834818068758656, 0.3421201460611214, 0], ori:[90, 3.8692030048263995, 2.1366774393109935]
Object: noodle, Seed: 98657, Result: 1, vel: 5.37311021129473, pos:[-0.02457541507245975, -0.5494803564453273, 0], ori:[90, -4.701432209594309, 7.023728200945897]
Object: noodle, Seed: 72096, Result: 1, vel: 5.052214904588208, pos:[-0.13009415660545576, 0.7172566654428354, 0], ori:[90, 4.343886735513783, 0.487296511799336]
Object: noodle, Seed: 95732, Result: 0, vel: 5.036497544252318, pos:[-0.03410125000039449, -0.9982153733657618, 0], ori:[90, 4.773831032109118, -11.866405952524996]
Object: noodle, Seed: 94872, Result: 0, vel: 5.83209429505656, pos:[-0.15777385929674337, -0.8871951328750429, 0], ori:[90, -3.7468897727330397, -13.580413781659509]
Object: noodle, Seed: 94590, Result: 0, vel: 5.052857124470831, pos:[-0.20129931377450078, 0.45142614622992827, 0], ori:[90, -3.349649248291815, 3.5083455953829628]
Object: noodle, Seed: 93296, Result: 0, vel: 5.029808222487196, pos:[-0.26804224159451323, -1.0847385986365494, 0], ori:[90, 0.8071243599814864, -10.939516690636015]
Object: noodle, Seed: 64009, Result: 0, vel: 5.378885016621966, pos:[-0.17482825614527078, 0.14157033023273602, 0], ori:[90, -0.3040888211375563, -11.44962419907107]
Object: noodle, Seed: 24531, Result: 1, vel: 5.7409890291803585, pos:[-0.17964784874117679, -0.03475355186846629, 0], ori:[90, 1.0850731235584608, -7.868643019470086]
Object: noodle, Seed: 46620, Result: 1, vel: 5.289943068166215, pos:[-0.0043670254507834905, -0.6500331993784115, 0], ori:[90, 2.6453892244791986, 7.540864669546735]
Object: noodle, Seed: 78614, Result: 0, vel: 5.031735997454347, pos:[-0.2467983977874633, 0.6176380776881685, 0], ori:[90, -4.127821228698147, 5.831245369629826]
Object: noodle, Seed: 79266, Result: 0, vel: 5.3449288110553175, pos:[0.06000947824910785, 0.08931661275339287, 0], ori:[90, -3.9548432381964114, -10.95212329326226]
Object: noodle, Seed: 63612, Result: 1, vel: 5.483387376703738, pos:[-0.18742673978544905, 1.16283127298799, 0], ori:[90, 0.5356468036268938, 5.20339106200143]
Object: noodle, Seed: 64176, Result: 1, vel: 5.6579475100673635, pos:[0.0328179397563626, 0.3582678338608558, 0], ori:[90, -4.227729855461351, -9.139689464390834]
Object: noodle, Seed: 12902, Result: 0, vel: 5.760839634879795, pos:[-0.15157918428390252, -0.6251805145545811, 0], ori:[90, -0.8627334501722572, -6.41824266176223]
Object: noodle, Seed: 12182, Result: 0, vel: 5.819514123360049, pos:[-0.2119436970297397, -0.2773561764353222, 0], ori:[90, 3.578219521716033, 0.39307654490154675]
Object: noodle, Seed: 94849, Result: 0, vel: 5.393843485944702, pos:[-0.16492413380570892, 0.6319001227021237, 0], ori:[90, 4.342014850687967, -2.1011795539862863]
Object: noodle, Seed: 86646, Result: 0, vel: 5.704032290893128, pos:[-0.2974971832043718, -1.0748293447085067, 0], ori:[90, -2.1861022087252833, -9.90335272252956]
Object: noodle, Seed: 26223, Result: 0, vel: 5.016261569494849, pos:[0.04468086822075096, 0.9074562539091213, 0], ori:[90, 0.1396503141157277, -11.816211963934412]
Object: noodle, Seed: 88068, Result: 0, vel: 5.196106276760669, pos:[-0.2934261974048367, -0.6306856140792845, 0], ori:[90, -0.305124360050284, -13.669211482783545]
Object: noodle, Seed: 30770, Result: 1, vel: 5.58260430850593, pos:[0.09949799805485987, -1.151004547989465, 0], ori:[90, 4.483386737211054, -9.707994188923127]
Object: noodle, Seed: 41370, Result: 0, vel: 5.363010438805804, pos:[-0.21038602338987766, -0.8975436858252936, 0], ori:[90, -0.41093615883984214, 9.142187241731367]
Object: noodle, Seed: 71741, Result: 1, vel: 5.013698803778706, pos:[0.0402196177964253, 0.580414878664937, 0], ori:[90, -0.8418943281679763, 4.185092226805491]
Object: noodle, Seed: 18641, Result: 1, vel: 5.455914464255706, pos:[-0.25550168159610576, -0.3055203176846566, 0], ori:[90, -0.11528857041639995, -5.375604897789913]
Object: noodle, Seed: 29655, Result: 0, vel: 5.797581993583658, pos:[-0.15116185301154783, -0.7272795880490941, 0], ori:[90, -4.18290265426079, 7.352451741954223]
Object: noodle, Seed: 23782, Result: 0, vel: 5.913886288352679, pos:[-0.09043519565293875, -0.8497725074902711, 0], ori:[90, -0.5467767116597315, 12.249307261457076]
Object: noodle, Seed: 37250, Result: 0, vel: 5.352964948754754, pos:[-0.1515706621272457, -0.627009703844721, 0], ori:[90, 1.8459737620085281, 11.11636252469913]
Object: noodle, Seed: 25440, Result: 1, vel: 5.909035690127796, pos:[-0.2467161504143387, -0.46066461735593356, 0], ori:[90, -1.1196238109642795, -0.061613071477442105]
Object: noodle, Seed: 56235, Result: 0, vel: 5.017900061661253, pos:[-0.2833872095729789, 1.0674902177582861, 0], ori:[90, -4.893118077414883, -7.636916476581827]
Object: noodle, Seed: 80467, Result: 1, vel: 5.186346507328805, pos:[-0.24803790255056193, 0.07810170381838999, 0], ori:[90, -2.213999162014039, -12.44900800522131]
Object: noodle, Seed: 75703, Result: 1, vel: 5.181166783283195, pos:[-0.2996711578047582, -0.03509384742404187, 0], ori:[90, 4.427028883862279, -1.353524726217211]
Object: noodle, Seed: 45239, Result: 0, vel: 5.9564199350315095, pos:[-0.12792542555610326, 0.9480467732914566, 0], ori:[90, 2.3448557424116405, -0.949800627551804]
Object: noodle, Seed: 70710, Result: 0, vel: 5.767711479070084, pos:[0.018273068307250784, -0.5143365962435725, 0], ori:[90, 0.542378904986176, -7.047760046464585]
Object: noodle, Seed: 25121, Result: 0, vel: 5.912400868951726, pos:[-0.10102201964014296, -0.6515893113959085, 0], ori:[90, 1.8306131662435607, -0.44106148561719927]
Object: noodle, Seed: 24865, Result: 0, vel: 5.2726765351241625, pos:[-0.15024802758036934, 0.24068420953375025, 0], ori:[90, -1.8048811005170529, -7.511080250672396]
Object: noodle, Seed: 79326, Result: 1, vel: 5.5423791649638705, pos:[-0.11321958758540226, -0.016988234585733952, 0], ori:[90, 2.8451480771168605, -4.226135933206455]
Object: noodle, Seed: 11567, Result: 0, vel: 5.476802628494304, pos:[0.056164439760890306, 0.09193619901998162, 0], ori:[90, -0.5213377625992379, 11.823006466441523]
Object: noodle, Seed: 44417, Result: 0, vel: 5.064135027516063, pos:[-0.18586262207528098, 0.8023728671150694, 0], ori:[90, 4.536364602928394, 11.291334276483006]
Object: noodle, Seed: 88386, Result: 1, vel: 5.7387885965672, pos:[-0.08659457825863265, -0.7391950321424974, 0], ori:[90, -0.43666597673545393, -4.707916368133212]
Object: noodle, Seed: 27169, Result: 1, vel: 5.0389057650643965, pos:[0.0711054521010453, 0.01732869833381878, 0], ori:[90, 3.3686814393988556, 6.829124066046891]
Object: noodle, Seed: 18722, Result: 1, vel: 5.716423195066281, pos:[-0.03426834916407251, -0.20152871341521972, 0], ori:[90, -2.036248472062253, -11.652331298510319]
Object: noodle, Seed: 59607, Result: 0, vel: 5.1811044876574615, pos:[0.05801496079921781, -0.6871996315945728, 0], ori:[90, -4.166356300903874, 13.536422379355276]
Object: noodle, Seed: 83734, Result: 0, vel: 5.029760784734086, pos:[0.08836508947551946, 1.0134190431551537, 0], ori:[90, 4.042157208911943, -12.404090016214177]
Object: noodle, Seed: 719, Result: 1, vel: 5.685393197672368, pos:[-0.1677180028368779, 0.5138125180158537, 0], ori:[90, 4.274520873034717, 9.407366186106866]
Object: noodle, Seed: 2696, Result: 0, vel: 5.189027193876796, pos:[-0.0714842722573081, -0.2151607777725909, 0], ori:[90, 4.1539314590857614, 5.6692821538657086]
Object: noodle, Seed: 18314, Result: 0, vel: 5.064369290071698, pos:[-0.11996556346968407, 1.1007807655955208, 0], ori:[90, -3.5809980454480392, 6.769262338808744]
Object: noodle, Seed: 70410, Result: 1, vel: 5.366648819557933, pos:[0.07924603566414695, 1.160041138200931, 0], ori:[90, -1.476443740744371, 11.388506515790386]
Object: noodle, Seed: 96992, Result: 0, vel: 5.8880753551046, pos:[0.06359091892637309, 1.1951851426437028, 0], ori:[90, -1.166426986847088, 0.21495245810012342]
Object: noodle, Seed: 29059, Result: 1, vel: 5.550848808686596, pos:[0.03983979376190061, -0.7025011445952106, 0], ori:[90, -3.2675671292136723, -2.9910762891795812]
Object: noodle, Seed: 48406, Result: 1, vel: 5.17470870227621, pos:[-0.16541905279956304, -0.5694630431335913, 0], ori:[90, -4.349256068121345, -13.471416173879614]
Object: noodle, Seed: 57782, Result: 0, vel: 5.750091321404426, pos:[-0.18739540301505866, 0.716124782736727, 0], ori:[90, -1.3080554908699114, 1.4652893469319075]
Object: noodle, Seed: 94972, Result: 1, vel: 5.178744859856364, pos:[0.07385456685367248, -0.3472962998258974, 0], ori:[90, -3.2548105730427035, -8.104690145088266]
Object: noodle, Seed: 75812, Result: 1, vel: 5.347953702494717, pos:[-0.1612254561215098, -0.26762197904098095, 0], ori:[90, -2.6792564335921965, 5.318951917223419]
Object: noodle, Seed: 93715, Result: 1, vel: 5.545362809369863, pos:[-0.2884227715741092, -0.9185840701805901, 0], ori:[90, -4.012659707654888, -9.289541461952663]
Object: noodle, Seed: 26156, Result: 0, vel: 5.863560515767407, pos:[-0.20422281048622704, -0.2703704531886635, 0], ori:[90, 4.253476000615549, -3.930506588814211]
Object: noodle, Seed: 10455, Result: 0, vel: 5.7317985432402825, pos:[0.012379582101638087, -0.17797663504668537, 0], ori:[90, 1.7955499217758426, -3.4633495607286005]
Object: noodle, Seed: 14082, Result: 0, vel: 5.199033188220669, pos:[-0.04975507116571043, -0.2369060123244363, 0], ori:[90, 1.1434439140678236, -10.9488385662181]
Object: noodle, Seed: 19094, Result: 0, vel: 5.611756158854019, pos:[-0.10183676899676658, 1.1886673015750804, 0], ori:[90, 2.6925681864820366, 6.741069906095895]
Object: noodle, Seed: 91980, Result: 0, vel: 5.8799569020634825, pos:[0.07057842773786921, -0.25668241965585403, 0], ori:[90, -4.8774272366587565, 3.951175068951599]
Object: noodle, Seed: 91696, Result: 1, vel: 5.482029565970539, pos:[-0.13095923825736916, -0.5700521732510907, 0], ori:[90, -3.0605380943705276, -1.6540843125192861]
Object: noodle, Seed: 22739, Result: 1, vel: 5.8188167267981505, pos:[-0.14301273577561796, -0.8521116396829416, 0], ori:[90, 0.9164365128630427, 7.77792788558434]
Object: noodle, Seed: 81785, Result: 1, vel: 5.376072087932581, pos:[-0.19730968651739114, -0.22120131222086736, 0], ori:[90, 2.6966564878321195, 8.654436409329055]
Object: noodle, Seed: 39807, Result: 0, vel: 5.467246548413171, pos:[0.017909464206524506, -0.48188657489763587, 0], ori:[90, -0.9460791272716076, 11.41514177309206]
Object: noodle, Seed: 45485, Result: 0, vel: 5.764380375179224, pos:[-0.17316625148615503, 0.9008650219241952, 0], ori:[90, -1.8145555898095997, -0.7289274859185308]
Object: noodle, Seed: 1945, Result: 1, vel: 5.0979004312784415, pos:[-0.183767926837662, -0.35575951970805664, 0], ori:[90, -3.269660258014407, -0.44476386299927384]
Object: noodle, Seed: 38530, Result: 0, vel: 5.183224939710627, pos:[-0.15469291863092702, 1.0105329209111373, 0], ori:[90, 2.270802295049382, 7.441081023217418]
Object: noodle, Seed: 83384, Result: 0, vel: 5.285742084001641, pos:[-0.20514663126512261, -1.0807265803915527, 0], ori:[90, 0.6330437322145768, -9.677820005696876]
Object: noodle, Seed: 42067, Result: 0, vel: 5.234846358063912, pos:[0.04999992144568771, 0.9374548402027554, 0], ori:[90, 1.2509079500992613, 13.1940051460858]
Object: noodle, Seed: 75175, Result: 0, vel: 5.230183449095318, pos:[-0.03273563140683233, -0.5500426806840658, 0], ori:[90, 4.021479390328624, -1.4861103607702137]
Object: noodle, Seed: 63677, Result: 0, vel: 5.2831967463580956, pos:[-0.13513043713477793, 0.8859957073625753, 0], ori:[90, -4.680390107642904, -12.550204162920313]
