Object: noodle, Seed: 6446, Result: 0, vel: 5.932411122753629, pos:[-0.26518492442346625, 0.3361175590420348, 0], ori:[90, 1.2642008041552533, 7.459130813480925]
Object: noodle, Seed: 9306, Result: 0, vel: 5.434117490837074, pos:[-0.287669526127922, 0.20642361912578977, 0], ori:[90, 2.6344306201080068, -6.983880470626345]
Object: noodle, Seed: 7277, Result: 1, vel: 5.627619774217279, pos:[-0.05518437219583111, 0.2856204958202203, 0], ori:[90, -0.9100771094075908, -4.124985871885826]
Object: noodle, Seed: 4822, Result: 1, vel: 5.951754951705012, pos:[-0.14027895880900595, 0.15249264632820347, 0], ori:[90, -2.6642914369760895, -11.597287552137104]
Object: noodle, Seed: 8967, Result: 0, vel: 5.04052331888556, pos:[-0.2514569368266911, -0.293757915653851, 0], ori:[90, -3.4521802211432306, 8.974090518406687]
Object: noodle, Seed: 979, Result: 1, vel: 5.457886039370912, pos:[-0.0025650725113053885, 0.18638641212209484, 0], ori:[90, -1.2441323781056801, 12.134005106050427]
Object: noodle, Seed: 6503, Result: 0, vel: 5.1289584535675194, pos:[-0.22445214367153105, 0.04073988914133331, 0], ori:[90, 0.05622895810449968, 10.422522599342471]
Object: noodle, Seed: 3329, Result: 0, vel: 5.74881241390215, pos:[-0.2814409627648732, 0.3445219912460977, 0], ori:[90, 0.44765209693216956, -8.286286093796603]
Object: noodle, Seed: 4126, Result: 0, vel: 5.364218378645001, pos:[-0.20191154423506957, 0.33611260001905086, 0], ori:[90, -3.3420185543584813, 2.0252030084169093]
Object: noodle, Seed: 9142, Result: 1, vel: 5.898511361770494, pos:[-0.055243211339528614, -0.08363869278671343, 0], ori:[90, -0.6602384503225522, -3.324324051532031]
Object: noodle, Seed: 4632, Result: 0, vel: 5.948089899131501, pos:[-0.22746651773545168, -0.08824352291605042, 0], ori:[90, -0.2814234978421881, 7.9939622805795665]
Object: noodle, Seed: 1350, Result: 1, vel: 5.477843996242846, pos:[-0.014968802328186426, -0.2807913496173504, 0], ori:[90, 2.1787650142053057, 4.431496232432455]
Object: noodle, Seed: 4278, Result: 1, vel: 5.477925252380167, pos:[-0.08776249293603192, -0.457707728254964, 0], ori:[90, -3.1059084656081746, -10.368041732502487]
Object: noodle, Seed: 2922, Result: 1, vel: 5.386076390977637, pos:[-0.012571327936327203, -0.441343294621223, 0], ori:[90, -3.8084584586969106, -5.801678282061294]
Object: noodle, Seed: 9472, Result: 1, vel: 5.51241626146064, pos:[-0.21312161923163903, 0.2084733960104378, 0], ori:[90, -2.877892989947531, -6.653041587243592]
Object: noodle, Seed: 4144, Result: 1, vel: 5.283229302521961, pos:[-0.15117762756194983, 0.13377328688146173, 0], ori:[90, 2.6042356715147763, 5.297576073541652]
Object: noodle, Seed: 1044, Result: 1, vel: 5.800027504968941, pos:[-0.08558115053981832, -0.15635452079396417, 0], ori:[90, 2.1575872701752585, 0.49398858846038074]
Object: noodle, Seed: 7556, Result: 1, vel: 5.92221055568079, pos:[-0.22952919535803284, 0.44607515656527896, 0], ori:[90, -4.4177780765020245, -0.3726985571655046]
Object: noodle, Seed: 9795, Result: 0, vel: 5.5581063532455115, pos:[-0.10608257774562782, -0.34504533511041, 0], ori:[90, -3.2390455732977532, -9.95164677788733]
Object: noodle, Seed: 8444, Result: 0, vel: 5.140716108919623, pos:[-0.28809947449311885, -0.17829209217044162, 0], ori:[90, -4.522074031339434, -2.0178383790439742]
Object: noodle, Seed: 5430, Result: 1, vel: 5.55941177200594, pos:[-0.03353706447651833, 0.1962452925463084, 0], ori:[90, -2.9950473385467435, 11.466687290275374]
Object: noodle, Seed: 3397, Result: 0, vel: 5.029415659676803, pos:[-0.07172687304970737, -0.4083418099096413, 0], ori:[90, 4.355836951760473, 13.944838864509958]
Object: noodle, Seed: 8086, Result: 1, vel: 5.665108005587048, pos:[-0.1021374637391815, 0.4097404163402304, 0], ori:[90, 2.739099987134745, 10.662349525389544]
Object: noodle, Seed: 60, Result: 1, vel: 5.574901368190529, pos:[-0.11326364183728191, 0.386343415072417, 0], ori:[90, 3.899140293458691, -13.982473726406782]
Object: noodle, Seed: 7691, Result: 1, vel: 5.430948538665155, pos:[-0.0024632692832656233, 0.24535154637029943, 0], ori:[90, 3.8354878062333757, 9.331828818990644]
Object: noodle, Seed: 2948, Result: 0, vel: 5.502476241232697, pos:[-0.11128201782127381, -0.4663379273919297, 0], ori:[90, -0.07676977745047964, 9.229377114090358]
Object: noodle, Seed: 8028, Result: 1, vel: 5.680796277813853, pos:[-0.2406893442814587, -0.22408331589955977, 0], ori:[90, 3.0043422539425073, 13.68791576039974]
Object: noodle, Seed: 6736, Result: 0, vel: 5.577028030402055, pos:[-0.014218615021045766, 0.23646924017520143, 0], ori:[90, 4.034964337657371, 7.701739360270761]
Object: noodle, Seed: 4316, Result: 1, vel: 5.20596919647537, pos:[-0.053189242002132237, -0.33466033561674435, 0], ori:[90, -0.5792779177655998, -7.72532591436914]
Object: noodle, Seed: 881, Result: 0, vel: 5.614051723300428, pos:[-0.24388386743391421, -0.21707830025851282, 0], ori:[90, -1.2716462564804454, -1.3000873943677398]
Object: noodle, Seed: 7158, Result: 1, vel: 5.56168824904457, pos:[-0.1178575913836894, 0.40827315719876145, 0], ori:[90, -0.9710121309023991, 1.6938263607375212]
Object: noodle, Seed: 4785, Result: 1, vel: 5.917710498215753, pos:[-0.26646207505666913, -0.40577388506040124, 0], ori:[90, 2.3823259182174406, -4.487013688785339]
Object: noodle, Seed: 4076, Result: 0, vel: 5.028403399011111, pos:[-0.21971202156729203, 0.07076056004197306, 0], ori:[90, -3.8663747076736232, -11.613500880418584]
Object: noodle, Seed: 5949, Result: 0, vel: 5.000963729255831, pos:[-0.1792715858028128, 0.23048905700329492, 0], ori:[90, 2.9475853065514057, -2.2418887447984073]
Object: noodle, Seed: 1794, Result: 1, vel: 5.916159207438693, pos:[-0.11223464653297721, -0.4326893826316869, 0], ori:[90, 0.38851006225964646, -6.773788807406473]
Object: noodle, Seed: 2352, Result: 1, vel: 5.877617993620464, pos:[-0.265328230039809, 0.08598822431599706, 0], ori:[90, 2.092694304468429, -1.5740642751574825]
Object: noodle, Seed: 2787, Result: 1, vel: 5.60061799877415, pos:[-0.23564435844065368, -0.4421600025216603, 0], ori:[90, 2.8587099073673627, -11.351150014405942]
Object: noodle, Seed: 5439, Result: 1, vel: 5.95398895094384, pos:[-0.1356506155450199, -0.23851014972799467, 0], ori:[90, -4.507809023742391, 8.102780948680543]
Object: noodle, Seed: 2535, Result: 1, vel: 5.947793678558193, pos:[-0.06950692428397903, 0.4345052372104504, 0], ori:[90, 3.7306477127659257, -2.0640310499795618]
Object: noodle, Seed: 5266, Result: 1, vel: 5.096793638896714, pos:[-0.22041877383177544, -0.28078723331371236, 0], ori:[90, -4.878838288833343, 13.799675693396118]
Object: noodle, Seed: 2377, Result: 1, vel: 5.46098708796631, pos:[-0.2931280255166993, -0.2996250779701388, 0], ori:[90, 0.8612408250180064, 9.89723399311886]
Object: noodle, Seed: 1028, Result: 1, vel: 5.787524831639321, pos:[-0.24123214963393333, -0.06266257284700527, 0], ori:[90, -4.579254122192645, 9.659284102954693]
Object: noodle, Seed: 8136, Result: 0, vel: 5.2370618718210595, pos:[-0.02063576768986941, -0.33180778613480266, 0], ori:[90, 3.873735246102223, 2.323144464330916]
Object: noodle, Seed: 3623, Result: 0, vel: 5.065912306698755, pos:[-0.17060733128968283, 0.3476867037111002, 0], ori:[90, -0.1482485516214691, 10.287110287801408]
Object: noodle, Seed: 7104, Result: 1, vel: 5.900231889166883, pos:[-0.12824990865304983, -0.011107365686035542, 0], ori:[90, -1.714670622341814, 10.569993456632968]
Object: noodle, Seed: 9256, Result: 0, vel: 5.32863277060207, pos:[-0.17705701887780223, -0.37355555461784173, 0], ori:[90, 0.7646457721616295, 4.543913606030031]
Object: noodle, Seed: 649, Result: 1, vel: 5.516520621011741, pos:[-0.060776904962758865, -0.10448778828882277, 0], ori:[90, -4.539642387307871, -10.114176119647965]
Object: noodle, Seed: 8761, Result: 0, vel: 5.158883500440215, pos:[-0.2295764917802272, -0.30096002270027844, 0], ori:[90, -0.21749580920236689, -11.713581203942603]
Object: noodle, Seed: 9634, Result: 1, vel: 5.523164023200436, pos:[-0.25591734409273703, -0.27617658834071224, 0], ori:[90, -3.178433980072879, 10.889127426904409]
Object: noodle, Seed: 8310, Result: 0, vel: 5.114027971124103, pos:[-0.272653136262503, -0.01918752807996671, 0], ori:[90, -3.3547940819077695, -5.497846408904071]
Object: noodle, Seed: 9654, Result: 0, vel: 5.096500669545083, pos:[-0.05740747295373097, -0.4594607793768384, 0], ori:[90, -3.87409673711393, -6.644309750272113]
Object: noodle, Seed: 9546, Result: 1, vel: 5.950407642721189, pos:[-0.08313508583322815, -0.0840984581831914, 0], ori:[90, -0.29630323891663224, -3.3156356532669626]
Object: noodle, Seed: 4117, Result: 1, vel: 5.445657384386614, pos:[-0.10373786526505804, -0.43194038708730753, 0], ori:[90, -3.126713351523743, 2.8301355731698408]
