Object: cuboid, Seed: 78975, Result: 0, vel: 5.536429586330188, roll:-0.18717273198807693, pos:[-0.0893482806087871, -0.17767348195545107, 0], ori:[-4.468155807858615, 90, 5.178002221052168]
Object: cuboid, Seed: 42670, Result: 0, vel: 5.982189568963792, roll:-0.1614347251065798, pos:[-0.03669473101392995, -0.33019796834224635, 0], ori:[-1.776568229812269, 90, -9.797049178544045]
Object: cuboid, Seed: 48753, Result: 0, vel: 5.444218434879003, roll:0.0028703417857858793, pos:[-0.2938301934000529, -0.4649828397944271, 0], ori:[-3.167902446514479, 90, 2.862970025833235]
Object: cuboid, Seed: 34277, Result: 0, vel: 5.01985283264898, roll:-0.11200542684504747, pos:[-0.2717198313852717, -0.9434240378593124, 0], ori:[-2.540369812878395, 90, -4.7786884167105015]
Object: cuboid, Seed: 43215, Result: 0, vel: 5.736624061446182, roll:0.07727516168090859, pos:[0.034148191107122416, -0.12803697581142925, 0], ori:[-1.3821231500758993, 90, 5.474923311660046]
Object: cuboid, Seed: 72029, Result: 0, vel: 5.053633378093085, roll:0.11297153815233779, pos:[-0.144618887803063, -0.4905465824935059, 0], ori:[4.444067929524044, 90, -3.1604723599360547]
Object: cuboid, Seed: 53018, Result: 0, vel: 5.85468130391023, roll:-0.22414905589128736, pos:[0.09836380311259468, -0.20968660038520803, 0], ori:[2.0614084168600897, 90, 5.778279171517131]
Object: cuboid, Seed: 21627, Result: 0, vel: 5.234986368466583, roll:-0.05174453592257211, pos:[-0.14010932100871723, 0.15539664048944513, 0], ori:[4.482116500658787, 90, 13.00681172400978]
Object: cuboid, Seed: 38372, Result: 0, vel: 5.1666542192768325, roll:-0.052131942553802546, pos:[-0.23502235572921515, 0.7554883877595802, 0], ori:[-1.1981200129313994, 90, 2.5693645137021193]
Object: cuboid, Seed: 90391, Result: 0, vel: 5.536845908176719, roll:-0.2782849740819965, pos:[0.09808101020282717, 0.10187421663201968, 0], ori:[-4.93560850259922, 90, -8.370460516823668]
Object: cuboid, Seed: 1349, Result: 0, vel: 5.09089535994975, roll:-0.0538928385604692, pos:[-0.119177441388718, 0.41941694067024304, 0], ori:[1.8753176492411283, 90, 3.483363532690074]
Object: cuboid, Seed: 10640, Result: 1, vel: 5.323889469020385, roll:0.2291699585487676, pos:[0.03317974706194654, 0.41870635722754423, 0], ori:[-3.551117644092198, 90, 8.279804714496354]
Object: cuboid, Seed: 72640, Result: 0, vel: 5.0263595320715995, roll:0.1685369794605061, pos:[-0.2644125943648406, 0.6277112810338012, 0], ori:[-1.206534763165351, 90, -0.8610314365092453]
Object: cuboid, Seed: 51232, Result: 1, vel: 5.218627696846745, roll:-0.152033523345239, pos:[0.06570862345486256, 0.4172628242634322, 0], ori:[3.3701356321098714, 90, 13.233628156856977]
Object: cuboid, Seed: 97109, Result: 0, vel: 5.013646166707454, roll:-0.14980560973943105, pos:[-0.1746193303879556, 0.4541353322038568, 0], ori:[0.6555432393817959, 90, 7.950601108126268]
Object: cuboid, Seed: 74152, Result: 0, vel: 5.585522071753948, roll:-0.1450032081188705, pos:[-0.12795677009384854, -0.746619744112849, 0], ori:[0.4891278247128552, 90, 9.003632545067187]
