Object: noodle, Seed: 1081, Result: 0, vel: 5.61970522526937, pos:[-0.09377273616956225, 0.4213073844486863, 0], ori:[90, 0.5539220850332125, 3.520175586880775]
Object: noodle, Seed: 3843, Result: 1, vel: 5.614143111994821, pos:[-0.24348991319489072, 0.19918649999276605, 0], ori:[90, -1.2060866889707391, -2.3624796874312928]
Object: noodle, Seed: 4218, Result: 0, vel: 5.641672947846729, pos:[-0.27479285806260184, 0.405176101788313, 0], ori:[90, -1.7157878208140618, 10.52972161092547]
Object: noodle, Seed: 7268, Result: 0, vel: 5.567008704699336, pos:[-0.1759802093763581, -0.3724088526422149, 0], ori:[90, -1.9613550505378097, 1.2950078583420588]
Object: noodle, Seed: 3127, Result: 0, vel: 5.13654328352353, pos:[-0.2699683211557784, 0.14496637566069437, 0], ori:[90, -4.607729506251, -12.604470944514318]
Object: noodle, Seed: 6702, Result: 0, vel: 5.984059179353925, pos:[-0.1876914934901245, 0.32271548796544847, 0], ori:[90, -3.219744495331498, 11.699251490380764]
Object: noodle, Seed: 1583, Result: 1, vel: 5.61674515464353, pos:[-0.18979773926195947, -0.1604331480140715, 0], ori:[90, 2.6311372293402835, -2.6953242207324397]
Object: noodle, Seed: 1299, Result: 1, vel: 5.525410051739838, pos:[-0.14068664466427397, 0.10566417016698326, 0], ori:[90, -0.1437864059190188, 6.949556075619309]
Object: noodle, Seed: 7913, Result: 0, vel: 5.980060422414109, pos:[-0.29132978502570844, 0.016771719583934752, 0], ori:[90, -2.8492295969784873, 9.410111552552323]
Object: noodle, Seed: 3875, Result: 0, vel: 5.1038363208592585, pos:[-0.09556371054748417, 0.40264659408668824, 0], ori:[90, 0.5753606281258596, 11.193907289494177]
Object: noodle, Seed: 5516, Result: 0, vel: 5.059855194075624, pos:[-0.019770069379330846, -0.4469327605685154, 0], ori:[90, -2.6465689989088395, -9.389317135836711]
